0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:00:26 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:00:31 +0530] "GET /LMS/issueBook.jsp HTTP/1.1" 200 4120
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:00:31 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:00:59 +0530] "POST /LMS/issueBook HTTP/1.1" 200 4262
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:00:59 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:01:14 +0530] "POST /LMS/issueBook HTTP/1.1" 200 4260
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:01:14 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:01:21 +0530] "GET /LMS/submitBook.jsp HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:01:21 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:01:34 +0530] "POST /LMS/submitBook HTTP/1.1" 200 4107
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:01:34 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:01:37 +0530] "GET /LMS/issueBook.jsp HTTP/1.1" 200 4120
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:01:37 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:01:55 +0530] "POST /LMS/issueBook HTTP/1.1" 200 4263
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:01:55 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [01/Jun/2014:17:05:22 +0530] "GET /LMS/submitBook.jsp HTTP/1.1" 200 3961
