127.0.0.1 - - [30/May/2014:19:49:58 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [30/May/2014:19:50:08 +0530] "GET /LMS/index.jsp HTTP/1.1" 200 1422
0:0:0:0:0:0:0:1 - - [30/May/2014:19:50:08 +0530] "GET /LMS/indexLoginCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2014:19:50:08 +0530] "GET /LMS/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2014:19:50:08 +0530] "GET /LMS/bground_login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2014:19:50:08 +0530] "GET /LMS/input.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2014:19:50:08 +0530] "GET /LMS/bground.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2014:19:50:08 +0530] "GET /LMS/light2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2014:19:50:08 +0530] "GET /LMS/KozGoPro-Light.otf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2014:19:50:08 +0530] "GET /LMS/BAUHS93.TTF HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2014:19:50:08 +0530] "GET /LMS/ARLRDBD.TTF HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2014:19:50:09 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [30/May/2014:19:50:18 +0530] "GET /LMS/light.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2014:19:50:26 +0530] "POST /LMS/login HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [30/May/2014:19:50:26 +0530] "GET /LMS/headerCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2014:19:50:26 +0530] "GET /LMS/menuCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2014:19:50:26 +0530] "GET /LMS/menu_cover.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2014:19:50:26 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [30/May/2014:19:50:29 +0530] "GET /LMS/headLibHome.jsp HTTP/1.1" 200 3385
0:0:0:0:0:0:0:1 - - [30/May/2014:19:50:29 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [30/May/2014:19:50:29 +0530] "GET /LMS/menu_drop_list.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2014:19:50:31 +0530] "GET /LMS/addBook.jsp HTTP/1.1" 200 4722
0:0:0:0:0:0:0:1 - - [30/May/2014:19:50:31 +0530] "GET /LMS/miscCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2014:19:50:31 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [30/May/2014:19:51:28 +0530] "GET /LMS/changeSelfPassword1.jsp HTTP/1.1" 200 3583
0:0:0:0:0:0:0:1 - - [30/May/2014:19:51:28 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [30/May/2014:19:52:02 +0530] "GET /LMS/showAllBook.jsp HTTP/1.1" 200 6078
0:0:0:0:0:0:0:1 - - [30/May/2014:19:52:02 +0530] "GET /LMS/tableCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2014:19:52:02 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [30/May/2014:19:52:03 +0530] "GET /LMS/showAllBook.jsp HTTP/1.1" 200 6078
0:0:0:0:0:0:0:1 - - [30/May/2014:19:52:03 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [30/May/2014:19:52:05 +0530] "GET /LMS/addBook.jsp HTTP/1.1" 200 4722
0:0:0:0:0:0:0:1 - - [30/May/2014:19:52:08 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [30/May/2014:19:52:12 +0530] "GET /LMS/modifyBook1.jsp HTTP/1.1" 200 3736
0:0:0:0:0:0:0:1 - - [30/May/2014:19:52:12 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [30/May/2014:19:52:16 +0530] "POST /LMS/modifyBook2.jsp HTTP/1.1" 200 4603
0:0:0:0:0:0:0:1 - - [30/May/2014:19:52:16 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [30/May/2014:19:52:29 +0530] "POST /LMS/modifyBook3.jsp HTTP/1.1" 200 4802
0:0:0:0:0:0:0:1 - - [30/May/2014:19:52:29 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [30/May/2014:19:52:47 +0530] "GET /LMS/addBook.jsp HTTP/1.1" 200 4722
0:0:0:0:0:0:0:1 - - [30/May/2014:19:52:47 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [30/May/2014:19:52:51 +0530] "GET /LMS/logout HTTP/1.1" 200 1422
0:0:0:0:0:0:0:1 - - [30/May/2014:19:52:51 +0530] "GET /favicon.ico HTTP/1.1" 404 988
